,0
CNTP7640,3
RSI52,3
ROC8,2
STOCHEMA3600,2
RSI19600,2
STOCHEMAD6200,2
MA24800,2
MINGE6200,2
ROC52,2
MINGE72,2
CORD7640,2
STOCH19600,2
STOCHEMAD52,2
MINGE4320,2
CORD24800,2
RSI12400,2
BOLD9080,2
SUMP24,2
ROC2160,2
CNTN1440,2
BOLD19600,2
BOLD8,2
BOLD24800,2
SUMN36,2
SUMN720,2
SUMP4320,2
SUMP3600,2
STOCH2,2
SUMP1440,2
SUMP360,2
BOLU72,2
ROC1440,2
ROC720,2
SUMD2160,2
SUMP52,2
BOLU720,2
CNTP52,2
SUMD3600,2
BOLU144,2
BOLD4320,2
STOCH720,2
MINCGE7640,2
RSV144,2
RESI6200,2
CORR2880,2
RESI360,2
DELETH3,2
DELETH5,2
IMIN360,2
CORR52,2
DELETH14,2
DELETH24,2
CORR360,2
DELETH6200,2
CORR720,2
CORRBTCV6,2
